Từ tiếng Việt,Sắc thái/Nhóm,Nghĩa tiếng Anh
thịnh vượng lắm,Tích cực/Nhấn mạnh,Wealthy/Prosperous very much
thịnh vượng cực kỳ,Tích cực/Nhấn mạnh,Wealthy/Prosperous extremely
khởi sắc quá,Tích cực/Nhấn mạnh,Flourishing/Improving too much / extremely
khởi sắc lắm,Tích cực/Nhấn mạnh,Flourishing/Improving very much
khởi sắc cực kỳ,Tích cực/Nhấn mạnh,Flourishing/Improving extremely
thăng tiến quá,Tích cực/Nhấn mạnh,Advancing too much / extremely
thăng tiến lắm,Tích cực/Nhấn mạnh,Advancing very much
thăng tiến cực kỳ,Tích cực/Nhấn mạnh,Advancing extremely
phát triển quá,Tích cực/Nhấn mạnh,Developing too much / extremely
phát triển lắm,Tích cực/Nhấn mạnh,Developing very much
phát triển cực kỳ,Tích cực/Nhấn mạnh,Developing extremely
mở rộng quá,Tích cực/Nhấn mạnh,Expanding too much / extremely
mở rộng lắm,Tích cực/Nhấn mạnh,Expanding very much
mở rộng cực kỳ,Tích cực/Nhấn mạnh,Expanding extremely
vững chắc quá,Tích cực/Nhấn mạnh,Solid/Firm too much / extremely
vững chắc lắm,Tích cực/Nhấn mạnh,Solid/Firm very much
vững chắc cực kỳ,Tích cực/Nhấn mạnh,Solid/Firm extremely
chính xác quá,Tích cực/Nhấn mạnh,Accurate too much / extremely
chính xác lắm,Tích cực/Nhấn mạnh,Accurate very much
chính xác cực kỳ,Tích cực/Nhấn mạnh,Accurate extremely
nhanh chóng quá,Tích cực/Nhấn mạnh,Rapid/Quick too much / extremely
nhanh chóng lắm,Tích cực/Nhấn mạnh,Rapid/Quick very much
nhanh chóng cực kỳ,Tích cực/Nhấn mạnh,Rapid/Quick extremely
kịp thời quá,Tích cực/Nhấn mạnh,Timely too much / extremely
kịp thời lắm,Tích cực/Nhấn mạnh,Timely very much
kịp thời cực kỳ,Tích cực/Nhấn mạnh,Timely extremely
nhạy bén quá,Tích cực/Nhấn mạnh,Sharp/Agile too much / extremely
nhạy bén lắm,Tích cực/Nhấn mạnh,Sharp/Agile very much
nhạy bén cực kỳ,Tích cực/Nhấn mạnh,Sharp/Agile extremely
lạc hậu quá,Tiêu cực/Nhấn mạnh,Obsolete too much / extremely
lạc hậu lắm,Tiêu cực/Nhấn mạnh,Obsolete very much
lạc hậu cực kỳ,Tiêu cực/Nhấn mạnh,Obsolete extremely
khó khăn quá,Tiêu cực/Nhấn mạnh,Difficult too much / extremely
khó khăn lắm,Tiêu cực/Nhấn mạnh,Difficult very much
khó khăn cực kỳ,Tiêu cực/Nhấn mạnh,Difficult extremely
rủi ro quá,Tiêu cực/Nhấn mạnh,Risk too much / extremely
rủi ro lắm,Tiêu cực/Nhấn mạnh,Risk very much
rủi ro cực kỳ,Tiêu cực/Nhấn mạnh,Risk extremely
lệ thuộc quá,Tiêu cực/Nhấn mạnh,Dependent too much / extremely
lệ thuộc lắm,Tiêu cực/Nhấn mạnh,Dependent very much
lệ thuộc cực kỳ,Tiêu cực/Nhấn mạnh,Dependent extremely
vướng mắc quá,Tiêu cực/Nhấn mạnh,Obstacle too much / extremely
vướng mắc lắm,Tiêu cực/Nhấn mạnh,Obstacle very much
vướng mắc cực kỳ,Tiêu cực/Nhấn mạnh,Obstacle extremely
suy giảm quá,Tiêu cực/Nhấn mạnh,Decline too much / extremely
suy giảm lắm,Tiêu cực/Nhấn mạnh,Decline very much
suy giảm cực kỳ,Tiêu cực/Nhấn mạnh,Decline extremely
hạn chế quá,Tiêu cực/Nhấn mạnh,Limited/limitation too much / extremely
hạn chế lắm,Tiêu cực/Nhấn mạnh,Limited/limitation very much
hạn chế cực kỳ,Tiêu cực/Nhấn mạnh,Limited/limitation extremely
chậm quá,Tiêu cực/Nhấn mạnh,Slow/delayed too much / extremely
chậm lắm,Tiêu cực/Nhấn mạnh,Slow/delayed very much
chậm cực kỳ,Tiêu cực/Nhấn mạnh,Slow/delayed extremely
tồn tại quá,Tiêu cực/Nhấn mạnh,Shortcoming too much / extremely
tồn tại lắm,Tiêu cực/Nhấn mạnh,Shortcoming very much
tồn tại cực kỳ,Tiêu cực/Nhấn mạnh,Shortcoming extremely
tiêu cực quá,Tiêu cực/Nhấn mạnh,Negative/serious too much / extremely
tiêu cực lắm,Tiêu cực/Nhấn mạnh,Negative/serious very much
tiêu cực cực kỳ,Tiêu cực/Nhấn mạnh,Negative/serious extremely
phức tạp quá,Tiêu cực/Nhấn mạnh,Complex/unpredictable too much / extremely
phức tạp lắm,Tiêu cực/Nhấn mạnh,Complex/unpredictable very much
phức tạp cực kỳ,Tiêu cực/Nhấn mạnh,Complex/unpredictable extremely
bão hòa quá,Tiêu cực/Nhấn mạnh,Saturated too much / extremely
bão hòa lắm,Tiêu cực/Nhấn mạnh,Saturated very much
bão hòa cực kỳ,Tiêu cực/Nhấn mạnh,Saturated extremely
bất ổn quá,Tiêu cực/Nhấn mạnh,Unstable/uncertain too much / extremely
bất ổn lắm,Tiêu cực/Nhấn mạnh,Unstable/uncertain very much
bất ổn cực kỳ,Tiêu cực/Nhấn mạnh,Unstable/uncertain extremely
cạnh tranh gay gắt quá,Tiêu cực/Nhấn mạnh,Fierce competition too much / extremely
cạnh tranh gay gắt lắm,Tiêu cực/Nhấn mạnh,Fierce competition very much
cạnh tranh gay gắt cực kỳ,Tiêu cực/Nhấn mạnh,Fierce competition extremely
áp lực quá,Tiêu cực/Nhấn mạnh,Pressure too much / extremely
áp lực lắm,Tiêu cực/Nhấn mạnh,Pressure very much
áp lực cực kỳ,Tiêu cực/Nhấn mạnh,Pressure extremely
buồn bã quá,Tiêu cực/Nhấn mạnh,Sad/Melancholy too much / extremely
buồn bã lắm,Tiêu cực/Nhấn mạnh,Sad/Melancholy very much
buồn bã cực kỳ,Tiêu cực/Nhấn mạnh,Sad/Melancholy extremely
đau khổ quá,Tiêu cực/Nhấn mạnh,Suffering/Miserable too much / extremely
đau khổ lắm,Tiêu cực/Nhấn mạnh,Suffering/Miserable very much
đau khổ cực kỳ,Tiêu cực/Nhấn mạnh,Suffering/Miserable extremely
thất vọng quá,Tiêu cực/Nhấn mạnh,Disappointed too much / extremely
thất vọng lắm,Tiêu cực/Nhấn mạnh,Disappointed very much
thất vọng cực kỳ,Tiêu cực/Nhấn mạnh,Disappointed extremely
chán nản quá,Tiêu cực/Nhấn mạnh,Depressed/Bored too much / extremely
chán nản lắm,Tiêu cực/Nhấn mạnh,Depressed/Bored very much
chán nản cực kỳ,Tiêu cực/Nhấn mạnh,Depressed/Bored extremely
tuyệt vọng quá,Tiêu cực/Nhấn mạnh,Hopeless/Desperate too much / extremely
tuyệt vọng lắm,Tiêu cực/Nhấn mạnh,Hopeless/Desperate very much
tuyệt vọng cực kỳ,Tiêu cực/Nhấn mạnh,Hopeless/Desperate extremely
đau lòng quá,Tiêu cực/Nhấn mạnh,Heartbroken too much / extremely
đau lòng lắm,Tiêu cực/Nhấn mạnh,Heartbroken very much
đau lòng cực kỳ,Tiêu cực/Nhấn mạnh,Heartbroken extremely
suy sụp quá,Tiêu cực/Nhấn mạnh,Devastated/Collapsed too much / extremely
suy sụp lắm,Tiêu cực/Nhấn mạnh,Devastated/Collapsed very much
suy sụp cực kỳ,Tiêu cực/Nhấn mạnh,Devastated/Collapsed extremely
hối hận quá,Tiêu cực/Nhấn mạnh,Regretful too much / extremely
hối hận lắm,Tiêu cực/Nhấn mạnh,Regretful very much
hối hận cực kỳ,Tiêu cực/Nhấn mạnh,Regretful extremely
tiếc nuối quá,Tiêu cực/Nhấn mạnh,Regretful/Resentful too much / extremely
tiếc nuối lắm,Tiêu cực/Nhấn mạnh,Regretful/Resentful very much
tiếc nuối cực kỳ,Tiêu cực/Nhấn mạnh,Regretful/Resentful extremely
tủi thân quá,Tiêu cực/Nhấn mạnh,Feeling self-pity too much / extremely
tủi thân lắm,Tiêu cực/Nhấn mạnh,Feeling self-pity very much
tủi thân cực kỳ,Tiêu cực/Nhấn mạnh,Feeling self-pity extremely
cô đơn quá,Tiêu cực/Nhấn mạnh,Lonely too much / extremely
cô đơn lắm,Tiêu cực/Nhấn mạnh,Lonely very much
cô đơn cực kỳ,Tiêu cực/Nhấn mạnh,Lonely extremely
lạc lõng quá,Tiêu cực/Nhấn mạnh,Lost/Out of place too much / extremely
lạc lõng lắm,Tiêu cực/Nhấn mạnh,Lost/Out of place very much
lạc lõng cực kỳ,Tiêu cực/Nhấn mạnh,Lost/Out of place extremely
bi quan quá,Tiêu cực/Nhấn mạnh,Pessimistic too much / extremely
bi quan lắm,Tiêu cực/Nhấn mạnh,Pessimistic very much
bi quan cực kỳ,Tiêu cực/Nhấn mạnh,Pessimistic extremely
đau đớn quá,Tiêu cực/Nhấn mạnh,Painful too much / extremely
đau đớn lắm,Tiêu cực/Nhấn mạnh,Painful very much
đau đớn cực kỳ,Tiêu cực/Nhấn mạnh,Painful extremely
xót xa quá,Tiêu cực/Nhấn mạnh,Heart-wrenching too much / extremely
xót xa lắm,Tiêu cực/Nhấn mạnh,Heart-wrenching very much
xót xa cực kỳ,Tiêu cực/Nhấn mạnh,Heart-wrenching extremely
ngậm ngùi quá,Tiêu cực/Nhấn mạnh,Sorrowful too much / extremely
ngậm ngùi lắm,Tiêu cực/Nhấn mạnh,Sorrowful very much
ngậm ngùi cực kỳ,Tiêu cực/Nhấn mạnh,Sorrowful extremely
não nề quá,Tiêu cực/Nhấn mạnh,Dreary/Doleful too much / extremely
não nề lắm,Tiêu cực/Nhấn mạnh,Dreary/Doleful very much
não nề cực kỳ,Tiêu cực/Nhấn mạnh,Dreary/Doleful extremely
ủ rũ quá,Tiêu cực/Nhấn mạnh,Gloomy/Sulky too much / extremely
ủ rũ lắm,Tiêu cực/Nhấn mạnh,Gloomy/Sulky very much
ủ rũ cực kỳ,Tiêu cực/Nhấn mạnh,Gloomy/Sulky extremely
sầu muộn quá,Tiêu cực/Nhấn mạnh,Melancholic too much / extremely
sầu muộn lắm,Tiêu cực/Nhấn mạnh,Melancholic very much
sầu muộn cực kỳ,Tiêu cực/Nhấn mạnh,Melancholic extremely
bi ai quá,Tiêu cực/Nhấn mạnh,Tragic/Sorrowful too much / extremely
bi ai lắm,Tiêu cực/Nhấn mạnh,Tragic/Sorrowful very much
bi ai cực kỳ,Tiêu cực/Nhấn mạnh,Tragic/Sorrowful extremely
tức giận quá,Tiêu cực/Nhấn mạnh,Angry too much / extremely
tức giận lắm,Tiêu cực/Nhấn mạnh,Angry very much
tức giận cực kỳ,Tiêu cực/Nhấn mạnh,Angry extremely
phẫn nộ quá,Tiêu cực/Nhấn mạnh,Outraged/Indignant too much / extremely
phẫn nộ lắm,Tiêu cực/Nhấn mạnh,Outraged/Indignant very much
phẫn nộ cực kỳ,Tiêu cực/Nhấn mạnh,Outraged/Indignant extremely
bực mình quá,Tiêu cực/Nhấn mạnh,Annoyed/Irritated too much / extremely
bực mình lắm,Tiêu cực/Nhấn mạnh,Annoyed/Irritated very much
bực mình cực kỳ,Tiêu cực/Nhấn mạnh,Annoyed/Irritated extremely
khó chịu quá,Tiêu cực/Nhấn mạnh,Uncomfortable/Annoyed too much / extremely
khó chịu lắm,Tiêu cực/Nhấn mạnh,Uncomfortable/Annoyed very much
khó chịu cực kỳ,Tiêu cực/Nhấn mạnh,Uncomfortable/Annoyed extremely
uất ức quá,Tiêu cực/Nhấn mạnh,Resentful/Aggrieved too much / extremely
uất ức lắm,Tiêu cực/Nhấn mạnh,Resentful/Aggrieved very much
uất ức cực kỳ,Tiêu cực/Nhấn mạnh,Resentful/Aggrieved extremely
ghen tị quá,Tiêu cực/Nhấn mạnh,Jealous/Envious too much / extremely
ghen tị lắm,Tiêu cực/Nhấn mạnh,Jealous/Envious very much
ghen tị cực kỳ,Tiêu cực/Nhấn mạnh,Jealous/Envious extremely
đố kỵ quá,Tiêu cực/Nhấn mạnh,Envious too much / extremely
đố kỵ lắm,Tiêu cực/Nhấn mạnh,Envious very much
đố kỵ cực kỳ,Tiêu cực/Nhấn mạnh,Envious extremely
thù hận quá,Tiêu cực/Nhấn mạnh,Hateful too much / extremely
thù hận lắm,Tiêu cực/Nhấn mạnh,Hateful very much
thù hận cực kỳ,Tiêu cực/Nhấn mạnh,Hateful extremely
căm ghét quá,Tiêu cực/Nhấn mạnh,Detest/Loathe too much / extremely
căm ghét lắm,Tiêu cực/Nhấn mạnh,Detest/Loathe very much
căm ghét cực kỳ,Tiêu cực/Nhấn mạnh,Detest/Loathe extremely
ác cảm quá,Tiêu cực/Nhấn mạnh,Antipathy too much / extremely
ác cảm lắm,Tiêu cực/Nhấn mạnh,Antipathy very much
ác cảm cực kỳ,Tiêu cực/Nhấn mạnh,Antipathy extremely
bất mãn quá,Tiêu cực/Nhấn mạnh,Dissatisfied/Discontented too much / extremely
bất mãn lắm,Tiêu cực/Nhấn mạnh,Dissatisfied/Discontented very much
bất mãn cực kỳ,Tiêu cực/Nhấn mạnh,Dissatisfied/Discontented extremely
gắt gỏng quá,Tiêu cực/Nhấn mạnh,Grumpy/Snappy too much / extremely
gắt gỏng lắm,Tiêu cực/Nhấn mạnh,Grumpy/Snappy very much
gắt gỏng cực kỳ,Tiêu cực/Nhấn mạnh,Grumpy/Snappy extremely
điên tiết quá,Tiêu cực/Nhấn mạnh,Infuriated too much / extremely
điên tiết lắm,Tiêu cực/Nhấn mạnh,Infuriated very much
điên tiết cực kỳ,Tiêu cực/Nhấn mạnh,Infuriated extremely
hậm hực quá,Tiêu cực/Nhấn mạnh,Disgruntled too much / extremely
hậm hực lắm,Tiêu cực/Nhấn mạnh,Disgruntled very much
hậm hực cực kỳ,Tiêu cực/Nhấn mạnh,Disgruntled extremely
cau có quá,Tiêu cực/Nhấn mạnh,Frowning/Cross too much / extremely
cau có lắm,Tiêu cực/Nhấn mạnh,Frowning/Cross very much
cau có cực kỳ,Tiêu cực/Nhấn mạnh,Frowning/Cross extremely
hằn học quá,Tiêu cực/Nhấn mạnh,Spiteful too much / extremely
hằn học lắm,Tiêu cực/Nhấn mạnh,Spiteful very much
hằn học cực kỳ,Tiêu cực/Nhấn mạnh,Spiteful extremely
lo lắng quá,Tiêu cực/Nhấn mạnh,Anxious/Worried too much / extremely
lo lắng lắm,Tiêu cực/Nhấn mạnh,Anxious/Worried very much
lo lắng cực kỳ,Tiêu cực/Nhấn mạnh,Anxious/Worried extremely
sợ hãi quá,Tiêu cực/Nhấn mạnh,Afraid/Scared too much / extremely
sợ hãi lắm,Tiêu cực/Nhấn mạnh,Afraid/Scared very much
sợ hãi cực kỳ,Tiêu cực/Nhấn mạnh,Afraid/Scared extremely
kinh hoàng quá,Tiêu cực/Nhấn mạnh,Terrified/Horrified too much / extremely
kinh hoàng lắm,Tiêu cực/Nhấn mạnh,Terrified/Horrified very much
kinh hoàng cực kỳ,Tiêu cực/Nhấn mạnh,Terrified/Horrified extremely
hoang mang quá,Tiêu cực/Nhấn mạnh,Bewildered/Confused too much / extremely
hoang mang lắm,Tiêu cực/Nhấn mạnh,Bewildered/Confused very much
hoang mang cực kỳ,Tiêu cực/Nhấn mạnh,Bewildered/Confused extremely
bất an quá,Tiêu cực/Nhấn mạnh,Insecure/Anxious too much / extremely
bất an lắm,Tiêu cực/Nhấn mạnh,Insecure/Anxious very much
bất an cực kỳ,Tiêu cực/Nhấn mạnh,Insecure/Anxious extremely
hoảng loạn quá,Tiêu cực/Nhấn mạnh,Panicked too much / extremely
hoảng loạn lắm,Tiêu cực/Nhấn mạnh,Panicked very much
hoảng loạn cực kỳ,Tiêu cực/Nhấn mạnh,Panicked extremely
lo âu quá,Tiêu cực/Nhấn mạnh,Apprehensive too much / extremely
lo âu lắm,Tiêu cực/Nhấn mạnh,Apprehensive very much
lo âu cực kỳ,Tiêu cực/Nhấn mạnh,Apprehensive extremely
bối rối quá,Tiêu cực/Nhấn mạnh,Embarrassed/Confused too much / extremely
bối rối lắm,Tiêu cực/Nhấn mạnh,Embarrassed/Confused very much
bối rối cực kỳ,Tiêu cực/Nhấn mạnh,Embarrassed/Confused extremely
e ngại quá,Tiêu cực/Nhấn mạnh,Hesitant/Apprehensive too much / extremely
e ngại lắm,Tiêu cực/Nhấn mạnh,Hesitant/Apprehensive very much
e ngại cực kỳ,Tiêu cực/Nhấn mạnh,Hesitant/Apprehensive extremely
ngần ngại quá,Tiêu cực/Nhấn mạnh,Reluctant too much / extremely
ngần ngại lắm,Tiêu cực/Nhấn mạnh,Reluctant very much
ngần ngại cực kỳ,Tiêu cực/Nhấn mạnh,Reluctant extremely
nhút nhát quá,Tiêu cực/Nhấn mạnh,Timid/Shy too much / extremely
nhút nhát lắm,Tiêu cực/Nhấn mạnh,Timid/Shy very much
nhút nhát cực kỳ,Tiêu cực/Nhấn mạnh,Timid/Shy extremely
hoài nghi quá,Tiêu cực/Nhấn mạnh,Skeptical/Suspicious too much / extremely
hoài nghi lắm,Tiêu cực/Nhấn mạnh,Skeptical/Suspicious very much
hoài nghi cực kỳ,Tiêu cực/Nhấn mạnh,Skeptical/Suspicious extremely
nghi ngờ quá,Tiêu cực/Nhấn mạnh,Suspicious too much / extremely
nghi ngờ lắm,Tiêu cực/Nhấn mạnh,Suspicious very much
nghi ngờ cực kỳ,Tiêu cực/Nhấn mạnh,Suspicious extremely
phấp phỏng quá,Tiêu cực/Nhấn mạnh,Anxiously anticipating too much / extremely
phấp phỏng lắm,Tiêu cực/Nhấn mạnh,Anxiously anticipating very much
phấp phỏng cực kỳ,Tiêu cực/Nhấn mạnh,Anxiously anticipating extremely
bồn chồn quá,Tiêu cực/Nhấn mạnh,Restless/Fidgety too much / extremely
bồn chồn lắm,Tiêu cực/Nhấn mạnh,Restless/Fidgety very much
bồn chồn cực kỳ,Tiêu cực/Nhấn mạnh,Restless/Fidgety extremely
yếu kém quá,Tiêu cực/Nhấn mạnh,Poor/Weak too much / extremely
yếu kém lắm,Tiêu cực/Nhấn mạnh,Poor/Weak very much
yếu kém cực kỳ,Tiêu cực/Nhấn mạnh,Poor/Weak extremely
trì trệ quá,Tiêu cực/Nhấn mạnh,Stagnant too much / extremely
trì trệ lắm,Tiêu cực/Nhấn mạnh,Stagnant very much
trì trệ cực kỳ,Tiêu cực/Nhấn mạnh,Stagnant extremely
thua lỗ quá,Tiêu cực/Nhấn mạnh,Loss-making too much / extremely
thua lỗ lắm,Tiêu cực/Nhấn mạnh,Loss-making very much
thua lỗ cực kỳ,Tiêu cực/Nhấn mạnh,Loss-making extremely
lãng phí quá,Tiêu cực/Nhấn mạnh,Wasteful too much / extremely
lãng phí lắm,Tiêu cực/Nhấn mạnh,Wasteful very much
lãng phí cực kỳ,Tiêu cực/Nhấn mạnh,Wasteful extremely
thiếu hụt quá,Tiêu cực/Nhấn mạnh,Deficit/Shortage too much / extremely
thiếu hụt lắm,Tiêu cực/Nhấn mạnh,Deficit/Shortage very much
thiếu hụt cực kỳ,Tiêu cực/Nhấn mạnh,Deficit/Shortage extremely
bất cập quá,Tiêu cực/Nhấn mạnh,Inadequate/Shortcoming too much / extremely
bất cập lắm,Tiêu cực/Nhấn mạnh,Inadequate/Shortcoming very much
bất cập cực kỳ,Tiêu cực/Nhấn mạnh,Inadequate/Shortcoming extremely
manh mún quá,Tiêu cực/Nhấn mạnh,Fragmented too much / extremely
manh mún lắm,Tiêu cực/Nhấn mạnh,Fragmented very much
manh mún cực kỳ,Tiêu cực/Nhấn mạnh,Fragmented extremely
chắp vá quá,Tiêu cực/Nhấn mạnh,Patchy/Makeshift too much / extremely
chắp vá lắm,Tiêu cực/Nhấn mạnh,Patchy/Makeshift very much
chắp vá cực kỳ,Tiêu cực/Nhấn mạnh,Patchy/Makeshift extremely
kém chất lượng quá,Tiêu cực/Nhấn mạnh,Low quality too much / extremely
kém chất lượng lắm,Tiêu cực/Nhấn mạnh,Low quality very much
kém chất lượng cực kỳ,Tiêu cực/Nhấn mạnh,Low quality extremely
rườm rà quá,Tiêu cực/Nhấn mạnh,Redundant/Cumbersome too much / extremely
rườm rà lắm,Tiêu cực/Nhấn mạnh,Redundant/Cumbersome very much
rườm rà cực kỳ,Tiêu cực/Nhấn mạnh,Redundant/Cumbersome extremely
chậm chạp quá,Tiêu cực/Nhấn mạnh,Sluggish/Slow too much / extremely
chậm chạp lắm,Tiêu cực/Nhấn mạnh,Sluggish/Slow very much
chậm chạp cực kỳ,Tiêu cực/Nhấn mạnh,Sluggish/Slow extremely
tắc nghẽn quá,Tiêu cực/Nhấn mạnh,Congested/Blocked too much / extremely
tắc nghẽn lắm,Tiêu cực/Nhấn mạnh,Congested/Blocked very much
tắc nghẽn cực kỳ,Tiêu cực/Nhấn mạnh,Congested/Blocked extremely
khủng hoảng quá,Tiêu cực/Nhấn mạnh,Crisis too much / extremely
khủng hoảng lắm,Tiêu cực/Nhấn mạnh,Crisis very much
khủng hoảng cực kỳ,Tiêu cực/Nhấn mạnh,Crisis extremely
suy thoái quá,Tiêu cực/Nhấn mạnh,Recession too much / extremely
suy thoái lắm,Tiêu cực/Nhấn mạnh,Recession very much
suy thoái cực kỳ,Tiêu cực/Nhấn mạnh,Recession extremely
bất ổn định quá,Tiêu cực/Nhấn mạnh,Unstable too much / extremely
bất ổn định lắm,Tiêu cực/Nhấn mạnh,Unstable very much
bất ổn định cực kỳ,Tiêu cực/Nhấn mạnh,Unstable extremely
thiếu minh bạch quá,Tiêu cực/Nhấn mạnh,Non-transparent too much / extremely
thiếu minh bạch lắm,Tiêu cực/Nhấn mạnh,Non-transparent very much
thiếu minh bạch cực kỳ,Tiêu cực/Nhấn mạnh,Non-transparent extremely
thiếu thốn quá,Tiêu cực/Nhấn mạnh,Deprived/Scanty too much / extremely
thiếu thốn lắm,Tiêu cực/Nhấn mạnh,Deprived/Scanty very much
thiếu thốn cực kỳ,Tiêu cực/Nhấn mạnh,Deprived/Scanty extremely
nghèo nàn quá,Tiêu cực/Nhấn mạnh,Poor/Meager too much / extremely
nghèo nàn lắm,Tiêu cực/Nhấn mạnh,Poor/Meager very much
nghèo nàn cực kỳ,Tiêu cực/Nhấn mạnh,Poor/Meager extremely
xuống cấp quá,Tiêu cực/Nhấn mạnh,Degraded too much / extremely
xuống cấp lắm,Tiêu cực/Nhấn mạnh,Degraded very much
xuống cấp cực kỳ,Tiêu cực/Nhấn mạnh,Degraded extremely
hư hỏng quá,Tiêu cực/Nhấn mạnh,Damaged too much / extremely
hư hỏng lắm,Tiêu cực/Nhấn mạnh,Damaged very much
hư hỏng cực kỳ,Tiêu cực/Nhấn mạnh,Damaged extremely
then chốt quá,Trung tính/Nhấn mạnh,Crucial/important too much / extremely
then chốt lắm,Trung tính/Nhấn mạnh,Crucial/important very much
then chốt cực kỳ,Trung tính/Nhấn mạnh,Crucial/important extremely
trọng tâm quá,Trung tính/Nhấn mạnh,Key/focal too much / extremely
trọng tâm lắm,Trung tính/Nhấn mạnh,Key/focal very much
trọng tâm cực kỳ,Trung tính/Nhấn mạnh,Key/focal extremely
đồng bộ quá,Trung tính/Nhấn mạnh,Synchronized too much / extremely
đồng bộ lắm,Trung tính/Nhấn mạnh,Synchronized very much
đồng bộ cực kỳ,Trung tính/Nhấn mạnh,Synchronized extremely
thiết yếu quá,Trung tính/Nhấn mạnh,Essential too much / extremely
thiết yếu lắm,Trung tính/Nhấn mạnh,Essential very much
thiết yếu cực kỳ,Trung tính/Nhấn mạnh,Essential extremely
mong đợi quá,Trung tính/Nhấn mạnh,Awaiting/Looking forward to too much / extremely
mong đợi lắm,Trung tính/Nhấn mạnh,Awaiting/Looking forward to very much
mong đợi cực kỳ,Trung tính/Nhấn mạnh,Awaiting/Looking forward to extremely
kỳ vọng quá,Trung tính/Nhấn mạnh,Aspiration/expectation too much / extremely
kỳ vọng lắm,Trung tính/Nhấn mạnh,Aspiration/expectation very much
kỳ vọng cực kỳ,Trung tính/Nhấn mạnh,Aspiration/expectation extremely
ngóng trông quá,Trung tính/Nhấn mạnh,Longing for too much / extremely
ngóng trông lắm,Trung tính/Nhấn mạnh,Longing for very much
ngóng trông cực kỳ,Trung tính/Nhấn mạnh,Longing for extremely
bình thường quá,Trung tính/Nhấn mạnh,Normal/average too much / extremely
bình thường lắm,Trung tính/Nhấn mạnh,Normal/average very much
bình thường cực kỳ,Trung tính/Nhấn mạnh,Normal/average extremely
ổn định quá,Trung tính/Nhấn mạnh,Stable too much / extremely
ổn định lắm,Trung tính/Nhấn mạnh,Stable very much
ổn định cực kỳ,Trung tính/Nhấn mạnh,Stable extremely
thỏa đáng quá,Trung tính/Nhấn mạnh,Satisfactory too much / extremely
thỏa đáng lắm,Trung tính/Nhấn mạnh,Satisfactory very much
thỏa đáng cực kỳ,Trung tính/Nhấn mạnh,Satisfactory extremely
đánh kể quá,Trung tính/Nhấn mạnh,Significant too much / extremely
đánh kể lắm,Trung tính/Nhấn mạnh,Significant very much
đánh kể cực kỳ,Trung tính/Nhấn mạnh,Significant extremely
đặc biệt quá,Trung tính/Nhấn mạnh,Special too much / extremely
đặc biệt lắm,Trung tính/Nhấn mạnh,Special very much
đặc biệt cực kỳ,Trung tính/Nhấn mạnh,Special extremely
chú ý quá,Trung tính/Nhấn mạnh,Noticeable too much / extremely
chú ý lắm,Trung tính/Nhấn mạnh,Noticeable very much
chú ý cực kỳ,Trung tính/Nhấn mạnh,Noticeable extremely
ngạc nhiên quá,Trung tính/Nhấn mạnh,Surprised too much / extremely
ngạc nhiên lắm,Trung tính/Nhấn mạnh,Surprised very much
ngạc nhiên cực kỳ,Trung tính/Nhấn mạnh,Surprised extremely
ngỡ ngàng quá,Trung tính/Nhấn mạnh,Astonished too much / extremely
ngỡ ngàng lắm,Trung tính/Nhấn mạnh,Astonished very much
ngỡ ngàng cực kỳ,Trung tính/Nhấn mạnh,Astonished extremely
sửng sốt quá,Trung tính/Nhấn mạnh,Shocked/Stunned too much / extremely
sửng sốt lắm,Trung tính/Nhấn mạnh,Shocked/Stunned very much
sửng sốt cực kỳ,Trung tính/Nhấn mạnh,Shocked/Stunned extremely
tò mò quá,Trung tính/Nhấn mạnh,Curious too much / extremely
tò mò lắm,Trung tính/Nhấn mạnh,Curious very much
tò mò cực kỳ,Trung tính/Nhấn mạnh,Curious extremely
bâng khuâng quá,Trung tính/Nhấn mạnh,Melancholic/Pensive too much / extremely
bâng khuâng lắm,Trung tính/Nhấn mạnh,Melancholic/Pensive very much
bâng khuâng cực kỳ,Trung tính/Nhấn mạnh,Melancholic/Pensive extremely
trầm tư quá,Trung tính/Nhấn mạnh,Contemplative too much / extremely
trầm tư lắm,Trung tính/Nhấn mạnh,Contemplative very much
trầm tư cực kỳ,Trung tính/Nhấn mạnh,Contemplative extremely
lưỡng lự quá,Trung tính/Nhấn mạnh,Hesitant too much / extremely
lưỡng lự lắm,Trung tính/Nhấn mạnh,Hesitant very much
lưỡng lự cực kỳ,Trung tính/Nhấn mạnh,Hesitant extremely
thử thách quá,Trung tính/Nhấn mạnh,Challenging too much / extremely
thử thách lắm,Trung tính/Nhấn mạnh,Challenging very much
thử thách cực kỳ,Trung tính/Nhấn mạnh,Challenging extremely
đắn đo quá,Trung tính/Nhấn mạnh,Hesitant/Pondering too much / extremely
đắn đo lắm,Trung tính/Nhấn mạnh,Hesitant/Pondering very much
đắn đo cực kỳ,Trung tính/Nhấn mạnh,Hesitant/Pondering extremely
chập chờn quá,Trung tính/Nhấn mạnh,Unstable/Flickering too much / extremely
chập chờn lắm,Trung tính/Nhấn mạnh,Unstable/Flickering very much
chập chờn cực kỳ,Trung tính/Nhấn mạnh,Unstable/Flickering extremely
không hiệu quả quá,Tiêu cực/Nhấn mạnh,Not effective too much / extremely
không hiệu quả lắm,Tiêu cực/Nhấn mạnh,Not effective very much
